title,url,description,keywords,duration,view_count,datePublished,genre,,,,,,
Narendra Modi biggest interview: Modi's historic revelations,https://www.youtube.com/embed/VRODGLMtAgM,"Narendra Modi: Narendra Modi's discussion with Madhu Kishwar, when she was writing book on NaMo is talking in detail about Life threat on Narendra Modi. She ...","Narendra Modi, Gujarat, BJP, Exclusive interview, Gujarat riots, Breaking News, Video, News, News update, NewsX, Narendra Modi Interview",PT69M59S,53661,3/29/14,News & Politics,,,,,,
narendra modi unseen interview 2002 gujarat riots and irfan pathan,https://www.youtube.com/embed/3jt-36Ecycw,"narendra modi unseen interview topics covering 2002 gujarat riots, irphan pathan, development in gujarat.","gujarat 2002, irphan pathan gujarat riots, 2002 riots, india, Narendra Modi (Politician), Gujarat (Indian State), narendra modi, modi 2002, 2002 irfan pathan...",PT8M51S,147632,2/21/14,News & Politics,,,,,,
Shri Narendra Modi's interview with Doordarshan,https://www.youtube.com/embed/Y4TI4xv_3L4,Shri Narendra Modi's interview with Doordarshan,"Narendra Modi, Gujarat, India, Chief Minister, CM, Namo, Gujarat Government, PM, PM Candidate, Development, Vikas, Brand India, Prime Minster, BJP, NDA, NaMo...",PT54M31S,68936,5/1/14,News & Politics,,,,,,
Narendra Modi Interview: Watch unseen aspects of Modi-life Exclusive,https://www.youtube.com/embed/-Fj3ov4VVBE,Watch PM Modi Interview: Madhu Kishwar is talking in detail about Life threat on Narendra Modi. She also talks in detail about the propaganda machinery actin...,"Narendra Modi, Gujarat, BJP, Exclusive interview, Gujarat riots, News, Narendra Modi Interview, newsx",PT48M2S,104373,3/29/14,News & Politics,,,,,,
[ Must Watch ] Narendra Modi Exposed Rajdeep Sardesai on his Face !,https://www.youtube.com/embed/oR35JPo04i8,Narendra Modi Answers Rajdeep Sardesai on his face when he wanted to talk about 2002 !,"India, Narendra Modi, Gujarat, BJP, Rajdeep Sardesai, Interview, On the Road",PT1M46S,648571,7/31/13,News & Politics,,,,,,
Narendra Modi bashing and blasting Arnab Goswami,https://www.youtube.com/embed/cs-p8VYdhf8, ,"India, Narendra Modi (Politician), Arnab Goswami (Author), modi latest video, narendra modi speech in lok sabha today, narendra modi in china, narendra modi ...",PT3M20S,27996,7/5/15,News & Politics,,,,,,
The Narendra Modi Interview || Promo || IBNLive,https://www.youtube.com/embed/X3WwArpUAzQ,"If you missed this, watch it again on our channel CNN-IBN at 8 P.M.","news, india, Narendra Modi (Politician), Politics (TV Genre), Fareed Zakaria (Author), interview, ibnlive, social, Youtube, muslims, relax, indo - Us, americ...",PT0M53S,177,9/26/14,News & Politics,,,,,,
Suit boot ki sarkar better than suitcase: PM Narendra Modi,https://www.youtube.com/embed/BEqAE-TnWFE,"Prime Minister Narendra Modi, who recently completed one year in office, has, in an exclusive interview with ANI said the opposition alleging that his govern...","Suit boot ki sarkar, Suit boot, Suitcase, Narendra Modi, Rahul Gandhi, Modi Vs Gandhi, BJP, Congress, Zee News, ANI",PT14M27S,20458,5/30/15,News & Politics,,,,,,
Narendra Modi Interview Must Watch Best Speech Forever Evergreen Video,https://www.youtube.com/embed/0H3NQ0loCvM,Narendra Modi Interview Must Watch Best Speech Forever Evergreen Video,"Narendra Modi, Rahul Gandhi, Congress, BJP, Delhi, Gujarat, Telangana, India, 2014, General, Elections, Best, Speech, Forever, Interview, Sonia Gandhi, Modi,...",PT7M1S,69269,11/26/13,News & Politics,,,,,,
Angry Narendra Modi's Tight Slap to Reporter !,https://www.youtube.com/embed/vhwRzuj42Ug,Narendra Modi Agressively Defends his Fans and shuts up the repoter in Live Interview,"Narendra Modi, BJP, Narendra Modi for PM, India",PT3M9S,630652,7/15/13,News & Politics,,,,,,
The Narendra Modi Interview on Times Now (full),https://www.youtube.com/embed/uRBQcFfqDlw,Narendra Modi talks about Gujarat development and he is exposing congress false propaganda,"Narendra, Modi, talks, about, Gujarat, development, and, he, is, exposing, congress, false, propaganda",PT22M3S,317214,9/24/11,News & Politics,,,,,,
NARENDRA MODI INTERVIEW ON VTV GUJARATI - VTV,https://www.youtube.com/embed/knBOxjw7X6I,àª—à«Åàªœàª°àª_àª_ àª‡àª_à«‡àª•à«çàª¶àª¨ àªªà«‚àª°à«çàªµà«‡ àª—à«Åàªœàª°àª_àª_àª¨àª_ àª®à«Åàª–à«çàª¯àª®àª‚àª_à«çàª°à«€ àª…àª¨à«‡ àª_àª_àªœàªªàª¨àª_ PM àªªàª_àª¨àª_ àª‰àª®à«‡àª_àªµàª_àª° àª¨àª°à«‡àª¨à«çàª_à«çàª° àª®à«‹àª_à«€ àª¸àª_àª¥à«‡ àª–àª_àª¸ àª®à«Åàª_àª_àª•àª_àª_....,"Gujarat (Indian State), Narendra Modi (Politician), Interview, Cricket, Singh, Footage, Exclusive, Interviews, Interview Part, Post, Interview (Award), Rare,...",PT13M14S,4889,4/28/14,News & Politics,,,,,,
Narendra Modi's Full Interview on ETV,https://www.youtube.com/embed/OHUPGptNQUQ,This is the first interview of Narendra Modi in the current scenario of general elections 2014. Narendra Modi has been declared as the Prime Ministerial cand...,"Narendra Modi, Interview, Charcha, Talk Show, Sensation, Views, Thoughts, ETV Gujarati, Hindi, Simple, General Election, 2014, First Interview, Hari Shankar ...",PT67M45S,181358,3/31/14,Entertainment,,,,,,
Rare Narendra Modi Interview as a Party Worker in 1990 with rajeev shukla,https://www.youtube.com/embed/ZB_h2uuffT0,he is so simple but effective,"narendra modi, rare interview, childhood, photos, modi marriage, 1990, party worker, rajiv shukla, Rajeev Shukla (Politician)",PT3M50S,3797,10/18/13,Entertainment,,,,,,
NARENDRA MODI | FULL INTERVIEW | WITH ARNAB | 08th MAY 2014,https://www.youtube.com/embed/rU_Zoo3Qoto,NARENDRA MODI | FULL INTERVIEW | WITH ARNAB | 08th MAY 2014,"NARENDRA MODI | FULL INTERVIEW |WITH ARNAB | 08th MAY 2014, Narendra Modi (Politician), Interview (Ontology Class), India, May, Cricket, British Raj (Country...",PT75M3S,16696,5/8/14,People & Blogs,,,,,,
