narendra modi,cnn
lalu yadav,cnbc
arnab goswami,bbc
shah rukh khan,al jazeera
salman khan,fox news
amitabh,
Sunny Leone,
barack obama,
aamir khan,
Katrina Kaif,
Deepika Padukone,
Alia Bhatt,
Priyanka Chopra,
dhoni,
sachin tendulkar,
Virat Kohli,
nitish kumar,
The New York Times,
rajat sharma,
anupam kher ,
barkha dutt,
rajdeep sardesai,
jimmy kimmel,
john oliver,
the guardian,
ndtv,
aaj tak,
